occ_code,Title,mSML,vmSML,sdmSML
17-2081.01,Water/Wastewater Engineers,3.497087485,0.374542509,0.611998782
17-2111.01,Industrial Safety and Health Engineers,3.472772211,0.285337817,0.534170213
17-2111.02,Fire-Prevention and Protection Engineers,3.545358584,0.463868309,0.681078783
17-2111.03,Product Safety Engineers,3.684995844,0.248132923,0.498129424
17-2112.00,Industrial Engineers,3.60483553,0.396957327,0.630045496
17-2112.01,Human Factors Engineers and Ergonomists,3.574379508,0.363302283,0.60274562
17-2121.01,Marine Engineers,3.445511636,0.401171917,0.633381336
17-2121.02,Marine Architects,3.310363099,0.405553629,0.636830926
17-2131.00,Materials Engineers,3.450846281,0.414869817,0.644103887
17-2141.00,Mechanical Engineers,3.551055149,0.365247264,0.604356901
17-2141.01,Fuel Cell Engineers,3.536092523,0.447264569,0.668778415
17-2141.02,Automotive Engineers,3.547954007,0.308110102,0.555076663
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.439533981,0.318786724,0.564612012
17-2161.00,Nuclear Engineers,3.456221648,0.385726161,0.621068564
17-2171.00,Petroleum Engineers,3.423476559,0.329047611,0.573626717
17-2199.01,Biochemical Engineers,3.413556783,0.375183665,0.612522379
17-2199.02,Validation Engineers,3.571767299,0.456216706,0.675438158
17-2199.03,Energy Engineers,3.473135003,0.376689389,0.613750266
17-2199.04,Manufacturing Engineers,3.364889714,0.326608054,0.571496329
17-2199.05,Mechatronics Engineers,3.482366773,0.415107566,0.644288419
17-2199.07,Photonics Engineers,3.538484738,0.28618085,0.534958737
17-2199.08,Robotics Engineers,3.423978425,0.373128595,0.610842529
17-2199.09,Nanosystems Engineers,3.598146832,0.364751367,0.603946494
17-2199.10,Wind Energy Engineers,3.373800411,0.44277906,0.665416456
17-2199.11,Solar Energy Systems Engineers,3.573129707,0.405908108,0.637109181
17-3011.01,Architectural Drafters,3.496082283,0.327618089,0.572379323
17-3011.02,Civil Drafters,3.453060298,0.329814142,0.574294473
17-3012.01,Electronic Drafters,3.549297968,0.586471064,0.765813988
17-3012.02,Electrical Drafters,3.475569653,0.370402921,0.608607362
17-3013.00,Mechanical Drafters,3.939378738,0.478530369,0.691758895
17-3021.00,Aerospace Engineering and Operations Technicians,3.44002944,0.322802118,0.568156772
17-3022.00,Civil Engineering Technicians,3.295654232,0.317632552,0.563588992
17-3023.01,Electronics Engineering Technicians,3.460181828,0.345945395,0.58817123
17-3023.03,Electrical Engineering Technicians,3.458954707,0.327105684,0.571931538
17-3024.00,Electro-Mechanical Technicians,3.411760696,0.27475115,0.524167102
17-3024.01,Robotics Technicians,3.259708528,0.30395548,0.551321576
17-3025.00,Environmental Engineering Technicians,3.377751359,0.396319155,0.629538843
17-3026.00,Industrial Engineering Technicians,3.470821479,0.434203128,0.658940914
17-3027.00,Mechanical Engineering Technicians,3.577680199,0.402316609,0.634284328
17-3029.01,Non-Destructive Testing Specialists,3.510568401,0.412190201,0.642020405
17-3029.02,Electrical Engineering Technologists,3.410023323,0.29443638,0.542619922
17-3029.03,Electromechanical Engineering Technologists,3.474013931,0.30090885,0.548551592
17-3029.04,Electronics Engineering Technologists,3.423298244,0.393056952,0.626942542
17-3029.05,Industrial Engineering Technologists,3.490428915,0.342094127,0.584888132
17-3029.06,Manufacturing Engineering Technologists,3.401185176,0.346438092,0.588589919
17-3029.07,Mechanical Engineering Technologists,3.561182271,0.258840165,0.508763368
17-3029.08,Photonics Technicians,3.55506262,0.368775466,0.607268858
17-3029.09,Manufacturing Production Technicians,3.38411873,0.384691319,0.62023489
17-3031.01,Surveying Technicians,3.256645005,0.44218706,0.664971473
17-3031.02,Mapping Technicians,3.557842628,0.461801908,0.679560084
19-1011.00,Animal Scientists,3.085310537,0.527713641,0.726439014
19-1012.00,Food Scientists and Technologists,3.340218927,0.482995631,0.694978871
19-1013.00,Soil and Plant Scientists,3.364016069,0.422901246,0.650308577
19-1020.01,Biologists,3.499574369,0.339094983,0.582318627
19-1021.00,Biochemists and Biophysicists,3.436655949,0.281123115,0.530210444
19-1022.00,Microbiologists,3.558030357,0.324474037,0.569626226
19-1023.00,Zoologists and Wildlife Biologists,3.428917472,0.405519848,0.636804403
19-1029.01,Bioinformatics Scientists,3.559623534,0.302812259,0.550283799
19-1029.02,Molecular and Cellular Biologists,3.395543565,0.513675307,0.716711453
19-1029.03,Geneticists,3.381639889,0.329796571,0.574279176
19-1031.01,Soil and Water Conservationists,3.402238438,0.400507422,0.632856557
19-1031.02,Range Managers,3.355670711,0.488929848,0.699235188
19-1031.03,Park Naturalists,3.377523895,0.325927438,0.57090055
19-1032.00,Foresters,3.464417555,0.415866175,0.644876868
19-1041.00,Epidemiologists,3.245557449,0.568548675,0.754021668
19-1042.00,"Medical Scientists, Except Epidemiologists",3.32980343,0.460963464,0.678942902
19-2011.00,Astronomers,3.41042697,0.397969848,0.630848514
19-2012.00,Physicists,3.369582867,0.427787363,0.654054556
19-2021.00,Atmospheric and Space Scientists,3.416780908,0.343982394,0.586500123
19-2031.00,Chemists,3.415536039,0.390238375,0.624690623
19-2032.00,Materials Scientists,3.56739953,0.384203419,0.619841446
19-2041.00,"Environmental Scientists and Specialists, Including Health",3.486225904,0.449295044,0.670294744
19-2041.01,Climate Change Analysts,3.610802228,0.379291491,0.615866456
19-2041.02,Environmental Restoration Planners,3.414251027,0.432149747,0.657380976
19-2041.03,Industrial Ecologists,3.443338243,0.451066645,0.671614953
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3.484206017,0.37950261,0.616037831
19-2043.00,Hydrologists,3.528185739,0.317084013,0.563102134
19-2099.01,Remote Sensing Scientists and Technologists,3.497997703,0.350950282,0.592410569
19-3011.00,Economists,3.46307237,0.431175778,0.656639763
